number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout1,params_dropout2,params_lr,params_weight_decay,state
0,0.8095022005823049,2026-05-05 18:54:24.930499,2026-05-05 18:54:43.174774,0 days 00:00:18.244275,32,0.40977211652474455,0.3827578382759149,0.0010200473568509167,7.200487928155076e-06,COMPLETE
1,0.8063596482089455,2026-05-05 18:54:43.175261,2026-05-05 18:54:53.758564,0 days 00:00:10.583303,64,0.4081938935425248,0.3718932352280553,0.00026687493724929413,0.0008790709778196763,COMPLETE
2,0.8134021301151751,2026-05-05 18:54:53.758834,2026-05-05 18:55:04.427736,0 days 00:00:10.668902,64,0.22388367787690178,0.32415596545266717,0.0015696313452440238,0.0007342385904513314,COMPLETE
3,0.8032938873268233,2026-05-05 18:55:04.427960,2026-05-05 18:55:15.024329,0 days 00:00:10.596369,64,0.35166983038044,0.29859561453901595,0.00921664648105,4.393895792272557e-06,COMPLETE
4,0.8050454659813525,2026-05-05 18:55:15.024685,2026-05-05 18:55:25.731675,0 days 00:00:10.706990,64,0.28701307910915624,0.3544404217096244,0.0003918043782843179,6.539618243185437e-06,COMPLETE
5,0.8048969720180581,2026-05-05 18:55:25.731944,2026-05-05 18:55:36.556607,0 days 00:00:10.824663,64,0.2448825381081552,0.10413769418994276,0.009906853840022394,0.00010056976204810727,COMPLETE
6,0.8101406534565688,2026-05-05 18:55:36.556832,2026-05-05 18:55:47.267263,0 days 00:00:10.710431,64,0.4227684872992348,0.32466589118409817,0.0028010154611947434,7.437113144636638e-06,COMPLETE
7,0.8088856876335748,2026-05-05 18:55:47.267495,2026-05-05 18:56:05.172842,0 days 00:00:17.905347,32,0.22409057549218536,0.38205806371229445,0.0008890755378178271,6.316660022672559e-05,COMPLETE
8,0.8064431078169897,2026-05-05 18:56:05.173243,2026-05-05 18:56:15.900717,0 days 00:00:10.727474,64,0.3322315200842426,0.10506286679465338,0.00045057809903164707,3.2156280605099576e-05,COMPLETE
9,0.8078571086684326,2026-05-05 18:56:15.900939,2026-05-05 18:56:26.697609,0 days 00:00:10.796670,64,0.39099133104733597,0.1794900426571779,0.000763463314092607,0.0001488743130137131,COMPLETE
10,0.8056231662440375,2026-05-05 18:56:26.697840,2026-05-05 18:56:44.696070,0 days 00:00:17.998230,32,0.4964535433660107,0.2541410003717813,0.00014021675802984888,0.0007363544729209182,COMPLETE
11,0.808469446997937,2026-05-05 18:56:44.696481,2026-05-05 18:56:55.323797,0 days 00:00:10.627316,64,0.4802327392107324,0.30517445654778347,0.0026400524073022786,1.1703594849985653e-06,COMPLETE
12,0.808295080273149,2026-05-05 18:56:55.324034,2026-05-05 18:57:06.031703,0 days 00:00:10.707669,64,0.2004345408572595,0.3073809972588459,0.002681134576923249,0.00023919610152173712,COMPLETE
13,0.8057985435045848,2026-05-05 18:57:06.032076,2026-05-05 18:57:16.663077,0 days 00:00:10.631001,64,0.4596723216552854,0.2439780047267291,0.0031793091649270325,1.6538088277319255e-05,COMPLETE
14,0.8064940236277577,2026-05-05 18:57:16.663354,2026-05-05 18:57:34.654876,0 days 00:00:17.991522,32,0.2762837552126164,0.33028434910242327,0.00415008433288907,1.5876008371863276e-06,COMPLETE
15,0.810359545615443,2026-05-05 18:57:34.655102,2026-05-05 18:57:45.369002,0 days 00:00:10.713900,64,0.34472289144748824,0.2681409300143432,0.0013673631179594095,1.604713163674425e-05,COMPLETE
16,0.8060860729964443,2026-05-05 18:57:45.369380,2026-05-05 18:57:56.035799,0 days 00:00:10.666419,64,0.31860009028685926,0.25686685853617486,0.0014836096127371207,0.0003718014950344787,COMPLETE
17,0.808107219728644,2026-05-05 18:57:56.036077,2026-05-05 18:58:06.750600,0 days 00:00:10.714523,64,0.36374306873541945,0.21172799224663985,0.001538280524014357,2.5581573698878928e-05,COMPLETE
18,0.800859941118545,2026-05-05 18:58:06.750834,2026-05-05 18:58:24.965817,0 days 00:00:18.214983,32,0.2824988664411794,0.18525204044239751,0.005268982182665261,5.3376650962159575e-05,COMPLETE
19,0.8117419623181945,2026-05-05 18:58:24.966194,2026-05-05 18:58:35.715835,0 days 00:00:10.749641,64,0.25371248958553855,0.2741866930810122,0.0016858618484013963,1.5040008675389263e-05,COMPLETE
